brand,valve_name,cyl_name,dn_min,dn_max,kv_b,kv_d,kv_e,zvs,fls,description_en,description_de,description_es
VAG,RIKO,LHD-7.5,150,2000,-1.596928949,2.3713774,121.8675195,198.8,0.974827601,"Double perforated cylinder, mobile",Mobiler Doppelloch Zylinder,"Cilindro perforado doble, movil"
VAG,RIKO,LHD-10,150,2000,-2.489527288,1.220108644,54.44383458,149.9,0.943440175,"Double perforated cylinder, mobile",Mobiler Doppelloch Zylinder,"Cilindro perforado doble, movil"
VAG,RIKO,LHD-12,150,2000,-2.489527288,1.220108644,54.44383458,110.78,0.927941071,"Double perforated cylinder, mobile",Mobiler Doppelloch Zylinder,"Cilindro perforado doble, movil"
VAG,RIKO,LHD-15,150,2000,-2.20057648,2.055830681,102.4995272,52.1,0.910715115,"Double perforated cylinder, mobile",Mobiler Doppelloch Zylinder,"Cilindro perforado doble, movil"
VAG,RIKO,LHD-20,150,2000,-2.489527288,1.220108644,54.44383458,91.82104251,0.889417344,"Double perforated cylinder, mobile",Mobiler Doppelloch Zylinder,"Cilindro perforado doble, movil"
VAG,RIKO,L-7.5 + E,150,2000,-1.886883605,1.193598521,41.88671835,261.9,0.923498652,"Perforated cylinder, fixed","Loch Zylinder, feststehend","Cilindro perforado, fijo"
VAG,RIKO,L-10 + E,150,2000,-3.189147663,1.202928822,60.64686322,149.6735582,0.891941226,"Perforated cylinder, fixed","Loch Zylinder, feststehend","Cilindro perforado, fijo"
VAG,RIKO,L-20 + E,150,2000,-2.119617725,2.202814635,109.1029265,70.3,0.837246734,"Perforated cylinder, fixed","Loch Zylinder, feststehend","Cilindro perforado, fijo"
VAG,RIKO,L-30 + E,150,2000,-2.345786282,2.350389761,113.6617259,27.59518899,0.805445516,"Perforated cylinder, fixed","Loch Zylinder, feststehend","Cilindro perforado, fijo"
VAG,RIKO,L-35 + E,150,2000,-3.189147663,1.202928822,60.64686322,22.8683056,0.792296423,"Perforated cylinder, fixed","Loch Zylinder, feststehend","Cilindro perforado, fijo"
VAG,RIKO,L-40 + E,150,2000,-3.189147663,1.202928822,60.64686322,19.51291487,0.780201717,"Perforated cylinder, fixed","Loch Zylinder, feststehend","Cilindro perforado, fijo"
VAG,RIKO,L-45 + E,150,2000,-3.189147663,1.202928822,60.64686322,17.00943452,0.768878181,"Perforated cylinder, fixed","Loch Zylinder, feststehend","Cilindro perforado, fijo"
VAG,RIKO,S-7.5 + E,150,2000,-1.120066355,1.605636066,63.90836506,273.3,0.923498652,"Slotted cylinder, fixed","Schlitzzylinder, feststehend","Cilindro ranurado, fijo"
VAG,RIKO,S-10 + E,150,2000,-1.964760218,16.21649697,399.7240626,149.6735582,0.891941226,"Slotted cylinder, fixed","Schlitzzylinder, feststehend","Cilindro ranurado, fijo"
VAG,RIKO,S-20 + E,150,2000,-1.964760218,16.21649697,399.7240626,46.80052125,0.837246734,"Slotted cylinder, fixed","Schlitzzylinder, feststehend","Cilindro ranurado, fijo"
VAG,RIKO,S-30 + E,150,2000,-1.788405548,37.40032621,746.2827368,21.9,0.805445516,"Slotted cylinder, fixed","Schlitzzylinder, feststehend","Cilindro ranurado, fijo"
VAG,RIKO,S-35 + E,150,2000,-1.964760218,16.21649697,399.7240626,22.8683056,0.792296423,"Slotted cylinder, fixed","Schlitzzylinder, feststehend","Cilindro ranurado, fijo"
VAG,RIKO,S-40 + E,150,2000,-1.964760218,16.21649697,399.7240626,19.51291487,0.780201717,"Slotted cylinder, fixed","Schlitzzylinder, feststehend","Cilindro ranurado, fijo"
VAG,RIKO,S-45 + E,150,2000,-1.964760218,16.21649697,399.7240626,17.00943452,0.768878181,"Slotted cylinder, fixed","Schlitzzylinder, feststehend","Cilindro ranurado, fijo"
VAG,RIKO,LD-7.5 + E,150,2000,-2.341635289,1.328045862,62.12678708,180.9,0.98545928,"Double perforated cylinder, fixed","Doppelloch Zylinder, feststehend","Cilindro perforado doble, fijo"
VAG,RIKO,LD-10 + E,150,2000,-2.489527288,1.220108644,54.44383458,122.8528696,0.953784512,"Double perforated cylinder, fixed","Doppelloch Zylinder, feststehend","Cilindro perforado doble, fijo"
VAG,RIKO,LD-12 + E,150,2000,-2.489527288,1.220108644,54.44383458,96.10105749,0.938055533,"Double perforated cylinder, fixed","Doppelloch Zylinder, feststehend","Cilindro perforado doble, fijo"
VAG,RIKO,LD-15 + E,150,2000,-2.66417871,1.504305922,77.34035483,71.1,0.920484766,"Double perforated cylinder, fixed","Doppelloch Zylinder, feststehend","Cilindro perforado doble, fijo"
VAG,RIKO,LD-20 + E,150,2000,-2.489527288,1.220108644,54.44383458,48.29452522,0.89861231,"Double perforated cylinder, fixed","Doppelloch Zylinder, feststehend","Cilindro perforado doble, fijo"
VAG,RIKO,L-7.5 + LH-7.5,150,2000,-1.411546085,16.34707806,692.2000944,655.2667706,0.951832825,Fixed perforated cylinder and mobile perforated cylinder,Feststehender Loch Zylinder und beweglicher Einfach Loch zylinder,Cilindro de perforado fijo y cilindro perforado movil
VAG,RIKO,L-10 + LH-10,150,2000,-1.411546085,16.34707806,692.2000944,297.5671165,0.917261474,Fixed perforated cylinder and mobile perforated cylinder,Feststehender Loch Zylinder und beweglicher Einfach Loch zylinder,Cilindro de perforado fijo y cilindro perforado movil
VAG,RIKO,L-12 + LH-12,150,2000,-1.411546085,16.34707806,692.2000944,206.5221046,0.89921523,Fixed perforated cylinder and mobile perforated cylinder,Feststehender Loch Zylinder und beweglicher Einfach Loch zylinder,Cilindro de perforado fijo y cilindro perforado movil
VAG,RIKO,L-15 + LH-15,150,2000,-1.411546085,16.34707806,692.2000944,141.0947038,0.878168564,Fixed perforated cylinder and mobile perforated cylinder,Feststehender Loch Zylinder und beweglicher Einfach Loch zylinder,Cilindro de perforado fijo y cilindro perforado movil
VAG,RIKO,L-20 + LH-20,150,2000,-1.411546085,16.34707806,692.2000944,91.82104251,0.850502944,Fixed perforated cylinder and mobile perforated cylinder,Feststehender Loch Zylinder und beweglicher Einfach Loch zylinder,Cilindro de perforado fijo y cilindro perforado movil
VAG,RIKO,LD-15 + LH-20,150,2000,-2.012667573,2.611769125,126.764907,192.3,0.951832825,Double perforated cylinder fixed and a perforated cylinder mobile,Feststehender Doppelloch Zylinder und beweglicher Einfach Loch zylinder,Cilindro perforado doble fijo y un cilindro perforado simple movil
VAG,RIKO,LD-15 + LHD-15,150,2000,-2.365066635,1.881702146,94.8158508,68.8,0.951832825,Fixed hole cylinder and mobile double perforated cylinder,Feststehender Doppelloch Zylinder und beweglicher Doppelloch Zylinder,Cilindro perforado doble fijo y Cilindro perforado doble movil
VAG,RIKO,S-20 + SZ-20,150,2000,-1.240174121,10.34505673,606.2021575,231,0.850502944,Slotted cylinder fixed and Slotted cylinder mobile,Schlitzzylinder feststehend und Schlitzzylinder beweglich,Cilindro ranurado fijo y Cilindro ranurado movil
VAG,RIKO,SZ-20-30%,150,2000,-4.003804288,2.074419086,101.8089653,31.1,0.680572704,"Slotted cylinder short, mobile","Schlitzzylinder Kurz, beweglich","Cilindro ranurado Corto, movil"
VAG,RIKO,SZ-10-30%,150,2000,-4.271,1.58,88.029,5.56,0.727,"Slotted cylinder short, mobile","Schlitzzylinder Kurz, beweglich","Cilindro ranurado Corto, movil"
VAG,RIKO,SZ-10-50%,150,2000,-5.433,1.362,82.959,8.966,0.837,"Slotted cylinder short, mobile","Schlitzzylinder Kurz, beweglich","Cilindro ranurado Corto, movil"
VAG,RIKO,SZ-30-20%,150,2000,-3.907,1.14,60.456,3.144,0.711,"Slotted cylinder short, mobile","Schlitzzylinder Kurz, beweglich","Cilindro ranurado Corto, movil"
VAG,RIKO,SZ-30-50%,150,2000,-4.67,1.235,73.353,8.104,0.801,"Slotted cylinder short, mobile","Schlitzzylinder Kurz, beweglich","Cilindro ranurado Corto, movil"
VAG,RIKO,LH-20-30%,150,2000,-3.729888027,2.4937571,111.3589836,52.2,0.680572704,"Perforated cylinder short, mobile","Lochzylinder Kurz, beweglich","Cilindro perforado corto, movil"
VAG,RIKO,LH-15-50%,150,2000,-3.102023709,79.69406673,408.5029491,9.7,0.722709579,"Perforated cylinder short, mobile","Lochzylinder Kurz, beweglich","Cilindro perforado corto, movil"
VAG,RIKO,LH-20-50%,150,2000,-3.102023709,79.69406673,408.5029491,5.4,0.722709579,"Perforated cylinder short, mobile","Lochzylinder Kurz, beweglich","Cilindro perforado corto, movil"
VAG,RIKO,LH-25-50%,150,2000,-3.102023709,79.69406673,408.5029491,3.7,0.722709579,"Perforated cylinder short, mobile","Lochzylinder Kurz, beweglich","Cilindro perforado corto, movil"
VAG,RIKO,LH-30-50%,150,2000,-3.102023709,79.69406673,408.5029491,2.7,0.722709579,"Perforated cylinder short, mobile","Lochzylinder Kurz, beweglich","Cilindro perforado corto, movil"
ERHARD,RKV,SC-one_body,100,100,-3.298891488,1.560935377,83.924239,3.1,0.832227322,One-piece body Slotted cylinder,Einteiliges Gehaeuse mit mobiler Schlitz Zylinder,"Cuerpo de una pieza con Cilindro ranurado, movil"
ERHARD,RKV,SR-one_body,100,100,-2.467412982,1.963470429,98.50311797,1,0.729686009,One-piece body Seat ring,Einteiliges Gehaeuse mit Sitz ring,Cuerpo de una pieza con anillo de asiento
ERHARD,RKV,VR-one_body,100,100,-2.467412982,1.963470429,98.50311797,1.2,0.729686009,One-piece body Vaned ring,Einteiliges Gehaeuse mit Schaufelkranz,Cuerpo de una pieza con anillo de paleta
ERHARD,RKV,SC-one_body,125,125,-3.298891488,1.560935377,83.924239,8.3,0.832227322,One-piece body Slotted cylinder,Einteiliges Gehaeuse mit mobiler Schlitz Zylinder,"Cuerpo de una pieza con Cilindro ranurado, movil"
ERHARD,RKV,SR-one_body,125,125,-2.467412982,1.963470429,98.50311797,2.7,0.729686009,One-piece body Seat ring,Einteiliges Gehaeuse mit Sitz ring,Cuerpo de una pieza con anillo de asiento
ERHARD,RKV,VR-one_body,125,125,-2.467412982,1.963470429,98.50311797,2.9,0.729686009,One-piece body Vaned ring,Einteiliges Gehaeuse mit Schaufelkranz,Cuerpo de una pieza con anillo de paleta
ERHARD,RKV,SC-one_body,150,150,-3.298891488,1.560935377,83.924239,7.3,0.832227322,One-piece body Slotted cylinder,Einteiliges Gehaeuse mit mobiler Schlitz Zylinder,"Cuerpo de una pieza con Cilindro ranurado, movil"
ERHARD,RKV,SR-one_body,150,150,-2.467412982,1.963470429,98.50311797,1.6,0.729686009,One-piece body Seat ring,Einteiliges Gehaeuse mit Sitz ring,Cuerpo de una pieza con anillo de asiento
ERHARD,RKV,VR-one_body,150,150,-2.467412982,1.963470429,98.50311797,2.4,0.729686009,One-piece body Vaned ring,Einteiliges Gehaeuse mit Schaufelkranz,Cuerpo de una pieza con anillo de paleta
ERHARD,RKV,SC-one_body,200,200,-3.298891488,1.560935377,83.924239,7.6,0.832227322,One-piece body Slotted cylinder,Einteiliges Gehaeuse mit mobiler Schlitz Zylinder,"Cuerpo de una pieza con Cilindro ranurado, movil"
ERHARD,RKV,SR-one_body,200,200,-2.467412982,1.963470429,98.50311797,1.3,0.729686009,One-piece body Seat ring,Einteiliges Gehaeuse mit Sitz ring,Cuerpo de una pieza con anillo de asiento
ERHARD,RKV,VR-one_body,200,200,-2.467412982,1.963470429,98.50311797,1.6,0.729686009,One-piece body Vaned ring,Einteiliges Gehaeuse mit Schaufelkranz,Cuerpo de una pieza con anillo de paleta
ERHARD,RKV,SC-one_body,250,250,-3.298891488,1.560935377,83.924239,8.5,0.832227322,One-piece body Slotted cylinder,Einteiliges Gehaeuse mit mobiler Schlitz Zylinder,"Cuerpo de una pieza con Cilindro ranurado, movil"
ERHARD,RKV,SC-one_body,300,300,-3.298891488,1.560935377,83.924239,7.6,0.832227322,One-piece body Slotted cylinder,Einteiliges Gehaeuse mit mobiler Schlitz Zylinder,"Cuerpo de una pieza con Cilindro ranurado, movil"
ERHARD,RKV,SR-one_body,250,250,-2.467412982,1.963470429,98.50311797,1.9,0.729686009,One-piece body Seat ring,Einteiliges Gehaeuse mit Sitzring,Cuerpo de una pieza con anillo de asiento
ERHARD,RKV,VR-one_body,250,250,-2.467412982,1.963470429,98.50311797,2.5,0.729686009,One-piece body Vaned ring,Einteiliges Gehaeuse mit Schaufelkranz,Cuerpo de una pieza con anillo de paleta
ERHARD,RKV,SR-one_body,300,300,-2.467412982,1.963470429,98.50311797,1.4,0.729686009,One-piece body Seat ring,Einteiliges Gehaeuse mit Sitzring,Cuerpo de una pieza con anillo de asiento
ERHARD,RKV,VR-one_body,300,300,-2.467412982,1.963470429,98.50311797,1.9,0.729686009,One-piece body Vaned ring,Einteiliges Gehaeuse mit Schaufelkranz,Cuerpo de una pieza con anillo de paleta
ERHARD,RKS,SC-mp_body,350,900,-3.298891488,1.560935377,83.924239,6.5,0.832227322,Multipart body Slotted cylinder,Einteiliges Gehaeuse mit mobiler Schlitz Zylinder,"Cuerpo de una pieza con Cilindro ranurado, movil"
ERHARD,RKS,VR-mp_body,350,700,-2.467412982,1.963470429,98.50311797,1.5,0.729686009,Multipart body Vaned ring,Mehrteiliges Gehaeuse mit Schaufelkranz,Cuerpo de varias piezas con anillo de paleta
ERHARD,RKS,VR-mp_body,800,900,-2.467412982,1.963470429,98.50311797,1.4,0.729686009,Multipart body Vaned ring,Mehrteiliges Gehaeuse mit Schaufelkranz,Cuerpo de varias piezas con anillo de paleta
ERHARD,RKS,VR-mp_body,1000,1000,-2.467412982,1.963470429,98.50311797,1.3,0.729686009,Multipart body Vaned ring,Mehrteiliges Gehaeuse mit Schaufelkranz,Cuerpo de varias piezas con anillo de paleta
ERHARD,RKS,VR-mp_body,1200,1400,-2.467412982,1.963470429,98.50311797,1.1,0.729686009,Multipart body Vaned ring,Mehrteiliges Gehaeuse mit Schaufelkranz,Cuerpo de varias piezas con anillo de paleta
ERHARD,RKS,VR-mp_body,1600,1800,-2.467412982,1.963470429,98.50311797,1,0.729686009,Multipart body Vaned ring,Mehrteiliges Gehaeuse mit Schaufelkranz,Cuerpo de varias piezas con anillo de paleta
AVK-ACMO,NEEDLE,PSLG-K100,80,1600,-1.331694603,5.86508356,328.0589249,102.95,0.926692926,"Perforated or Slotted cylinder, mobile","Schlitz Zylinder, beweglich",Cilindro perforado o ranurado movil
AVK-ACMO,NEEDLE,PSLG-K150,80,1600,-1.29164494,5.721159362,332.5468986,151.71,0.964019441,"Perforated or Slotted cylinder, mobile","Schlitz Zylinder, beweglich",Cilindro perforado o ranurado movil
AVK-ACMO,NEEDLE,PSLG-K20,80,1600,-1.548302782,6.917775025,315.2919065,23.4248,0.789423117,"Perforated or Slotted cylinder, mobile","Schlitz Zylinder, beweglich",Cilindro perforado o ranurado movil
AVK-ACMO,NEEDLE,PSLG-K50,80,1600,-1.391491828,7.516740218,384.5966756,52.8,0.87577561,"Perforated or Slotted cylinder, mobile","Schlitz Zylinder, beweglich",Cilindro perforado o ranurado movil
AVK-ACMO,NEEDLE,PSEG,80,600,-2.976129529,1.409344346,74.07286902,3.39,0.666948327,Mobile Flat Cylinder,Mobiler Flachzylinder,Cilindro plano
AVK-ACMO,NEEDLE,PSEG,700,1400,-2.976129529,1.409344346,74.07286902,3.095,0.666948327,Mobile Flat Cylinder,Mobiler Flachzylinder,Cilindro plano
AVK-ACMO,NEEDLE,PSEG,1400,1800,-2.976129529,1.409344346,74.07286902,1.6,0.666948327,Mobile Flat Cylinder,Mobiler Flachzylinder,Cilindro plano
